,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
3087,Verdena,Starless,basso distorto,['Overdriven Guitar'],Intermediate,3/8,0.3,0.58,0.7,0.44,Intermediate,3/8,0.21,0.81,Advanced,7/8,Advanced,7/8,Intermediate,6/8
3088,Ascelia,Consuming Love,Bass,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.84,0.18,0.4,0.44,Intermediate,3/8,0.77,0.35,Advanced,3/8,Beginner,1/8,Advanced,1/8
3089,AFI,But Home Is Nowhere,Bass (Hunter),['Lead 8 (bass + lead)'],,,0.55,0.84,0.69,0.87,,,0.46,0.7,Advanced,3/8,Intermediate,4/8,Beginner,1/8
3090,1Kempfi1,Nightmare,Spur 2,['SynthStrings 1'],,,0.61,0.06,0.82,0.61,,,0.59,0.45,Advanced,5/8,Beginner,8/8,Intermediate,5/8
3091,MSB Competition May-Jun 2005,Nightmare,Low Strings,['SynthStrings 1'],,,0.57,0.64,0.97,0.11,,,0.04,0.16,Intermediate,6/8,Beginner,5/8,Intermediate,2/8
3092,Farin Urlaub,Alle Dasselbe,synth bass,['Lead 8 (bass + lead)'],,,0.13,0.07,0.41,0.03,,,0.09,0.22,Beginner,2/8,Advanced,7/8,Advanced,3/8
3093,Lifehouse,Everything,Timpani,[],,,0.87,0.17,0.79,0.73,,,0.69,0.9,Beginner,5/8,Intermediate,6/8,Advanced,3/8
3094,Danzig,Let It Be Captured,Eerie Von,['Acoustic Guitar (nylon)'],Beginner,1/8,0.45,0.48,1.0,0.61,Beginner,1/8,0.9,0.4,Beginner,8/8,Advanced,3/8,Beginner,3/8
3095,AFI,Ether,Hunter (3),['Distortion Guitar'],Beginner,2/8,0.27,0.21,0.83,0.53,Beginner,2/8,0.51,0.17,Beginner,4/8,Beginner,5/8,Advanced,3/8
3096,Böhse Onkelz,Berstimuliert,Stefan Verzerrt,['Distortion Guitar'],Intermediate,3/8,0.09,0.32,0.57,0.55,Intermediate,3/8,0.71,0.35,Advanced,5/8,Intermediate,4/8,Intermediate,6/8
3097,Daizystripper,Brilliant Days,Contrabass,[],,,0.88,0.77,0.35,0.35,,,0.83,0.84,Advanced,4/8,Beginner,4/8,Beginner,7/8
3098,The Subways,Shake Shake,Bass-Effekt,['Distortion Guitar'],Beginner,1/8,0.89,0.94,0.05,0.45,Beginner,1/8,0.48,0.99,Advanced,5/8,Advanced,8/8,Intermediate,3/8
3099,Die Ärzte,Allein,Bell,['Vibraphone'],,,0.85,0.87,0.18,0.22,,,0.73,0.88,Beginner,5/8,Beginner,2/8,Beginner,1/8
3100,Rush,Emotion Detector,Synth bass,['Lead 8 (bass + lead)'],,,0.12,0.79,0.83,0.8,,,0.0,0.62,Beginner,7/8,Intermediate,6/8,Advanced,8/8
3101,Verdena,Balanite,Roberta,['Distortion Guitar'],Beginner,1/8,0.34,0.99,0.08,0.5,Beginner,1/8,0.95,0.63,Advanced,8/8,Beginner,2/8,Intermediate,6/8
3102,Zakk Wylde,Bridge To Cross,Zakk,"['Bass', 'Acoustic Guitar (nylon)']",Beginner,1/8,0.28,0.79,0.49,0.2,Beginner,1/8,0.56,0.19,Advanced,6/8,Intermediate,8/8,Beginner,3/8
3103,AFI,Love Like Winter,Strings 1 ,['Pizzicato Strings'],,,0.99,0.17,0.83,0.77,,,0.02,0.59,Intermediate,6/8,Intermediate,7/8,Intermediate,1/8
3104,Restart,Levo Comigo,Pe Lanza,['Contrabass'],,,0.35,0.13,0.85,0.15,,,0.23,0.33,Beginner,7/8,Intermediate,8/8,Advanced,1/8
3105,Anaesthetics,Dream Dead, Heavy Bass,['Lead 8 (bass + lead)'],,,0.28,0.05,0.8,0.6,,,0.05,0.1,Beginner,4/8,Advanced,8/8,Intermediate,7/8
3106,Danger Danger,Under The Gun,Synth,['Acoustic Grand Piano 2'],,,0.72,0.49,0.67,0.51,,,0.15,0.04,Intermediate,7/8,Advanced,6/8,Intermediate,8/8
3107,Dover,Four Graves,Pista 6,['Lead 8 (bass + lead)'],,,0.94,0.37,0.84,0.37,,,0.16,0.73,Advanced,1/8,Beginner,5/8,Beginner,8/8
3108,Black Rebel Motorcycle Club,Need Some Air,bass ,['Distortion Guitar'],Beginner,1/8,0.88,0.34,0.4,0.03,Beginner,1/8,0.46,0.12,Advanced,3/8,Intermediate,2/8,Advanced,7/8
3109,Black Rebel Motorcycle Club,Shadows Keeper,bass ,['Electric Guitar (jazz)'],Intermediate,3/8,0.52,0.02,0.25,0.12,Intermediate,3/8,0.29,0.83,Beginner,4/8,Beginner,1/8,Intermediate,5/8
3110,Black Rebel Motorcycle Club,High Low,bass ,['Electric Guitar (jazz)'],Beginner,1/8,0.43,0.29,0.06,0.23,Beginner,1/8,0.89,0.98,Beginner,2/8,Beginner,6/8,Beginner,3/8
3111,Kid Cudi,Sky Might Fall,Bass,['Lead 2 (sawtooth)'],,,0.71,0.46,0.24,0.62,,,0.05,0.4,Beginner,8/8,Intermediate,1/8,Beginner,7/8
3112,Radiohead,Separator,Track 5,['Pad 8 (sweep)'],,,0.79,0.66,0.78,0.43,,,0.93,0.87,Intermediate,1/8,Beginner,1/8,Advanced,7/8
3113,Cartoons Theme,Dragon Ball Z Theme,Bajo lider,['Lead 8 (bass + lead)'],,,0.11,0.83,0.67,0.73,,,0.73,0.89,Advanced,6/8,Advanced,4/8,Advanced,3/8
3114,Silent Hill,Always On My Mind,Synth03,['Pad 7 (halo)'],,,0.01,0.48,0.61,0.17,,,0.7,0.54,Beginner,2/8,Intermediate,1/8,Intermediate,1/8
3115,Nightmare,Parade,Timpani,[],,,0.82,0.43,0.89,0.23,,,0.25,0.23,Advanced,2/8,Beginner,2/8,Intermediate,5/8
3116,Brendan Childs,Fall To My Knees,Lead 8 (bass + lead),[],,,0.25,0.54,0.94,0.4,,,0.5,0.5,Intermediate,1/8,Intermediate,7/8,Beginner,1/8
3117,Jehangir Aziz Hayat,See You Soon,Guitar 1,['Lead 2 (sawtooth)'],,,0.55,0.19,0.22,0.62,,,0.36,0.53,Beginner,8/8,Beginner,3/8,Beginner,6/8
3118,Green Day,21st Century Breakdown (With Harmonies And Lyrics),Bass (Mike Dirnt),['Overdriven Guitar'],Beginner,1/8,0.66,0.38,0.41,0.87,Beginner,1/8,0.21,0.96,Advanced,6/8,Beginner,1/8,Beginner,8/8
3119,Lordi,Inferno,Utwór 1,['Lead 2 (sawtooth)'],,,0.12,0.62,0.84,0.68,,,0.37,0.98,Beginner,6/8,Beginner,6/8,Advanced,1/8
3120,Nightmare,Wasurena Kusa,Ni~Ya,['Distortion Guitar'],Beginner,2/8,1.0,0.6,0.52,0.51,Beginner,2/8,0.04,0.64,Intermediate,6/8,Advanced,6/8,Intermediate,8/8
3121,Ария,Симфония Огня,Intro,['String Ensemble 1 2'],,,0.49,0.45,0.79,0.44,,,0.57,0.79,Intermediate,5/8,Advanced,6/8,Beginner,8/8
3122,Stone Sour,Do Me A Favor,Bass Effects,['Lead 4 (chiff)'],,,0.16,0.96,0.63,0.86,,,0.07,0.54,Beginner,1/8,Advanced,3/8,Beginner,5/8
3123,Stone Sour,Sadist,Bass Effects,['Lead 4 (chiff)'],,,0.51,0.25,0.76,0.05,,,0.08,0.73,Beginner,4/8,Beginner,1/8,Intermediate,4/8
3124,Zun,U.N Owen Wa Kanojo Nano Ka? (U.N. Owen Was Her?),Bass Synth,['Lead 8 (bass + lead)'],,,0.71,0.16,0.29,0.37,,,0.41,0.88,Intermediate,7/8,Intermediate,8/8,Intermediate,8/8
3125,Eternal White,Bright Black Forest,Orchestra-Strings,['String Ensemble 2'],,,0.18,0.84,0.17,0.59,,,0.09,0.71,Intermediate,4/8,Intermediate,3/8,Advanced,3/8
3126,Akira Yamaoka,Always On My Mind,Synth 3,['Pad 3 (polysynth)'],,,0.14,0.55,0.24,0.97,,,0.85,0.59,Beginner,2/8,Beginner,4/8,Advanced,3/8
3127,Pox,Lick 48 I Am Stan,Sáv 3,['Lead 8 (bass + lead)'],,,0.77,0.55,0.37,0.49,,,0.27,0.26,Advanced,5/8,Beginner,5/8,Beginner,8/8
3128,Tv Ep 20,Pals Of Mine,Piano Bass,['Acoustic Grand Piano'],,,0.57,0.21,0.92,0.0,,,0.17,0.47,Beginner,1/8,Intermediate,7/8,Beginner,7/8
3129,Guns N' Roses,The Garden,Bass,['Overdriven Guitar'],Beginner,2/8,0.89,0.25,0.07,0.02,Beginner,2/8,0.85,0.55,Beginner,8/8,Advanced,1/8,Advanced,6/8
3130,AFI,Fainting Spells,synth 1,['Lead 2 (sawtooth)'],,,0.42,0.64,0.38,0.52,,,0.73,0.06,Intermediate,2/8,Advanced,7/8,Beginner,2/8
3131,Motorhead,No Voices In The Sky,Track 4,['Distortion Guitar'],Beginner,2/8,0.39,0.5,0.38,0.74,Beginner,2/8,0.75,0.94,Advanced,4/8,Advanced,2/8,Beginner,6/8
3132,Michael Angelo Batio,For Whom The Bell Tolls,M.A.B,['Distortion Guitar'],Beginner,1/8,0.93,0.96,0.42,0.58,Beginner,1/8,0.87,0.4,Intermediate,7/8,Beginner,8/8,Intermediate,4/8
3133,Awolnation,Run,Synth Lead Octaver,['Lead 8 (bass + lead)'],,,0.63,0.6,0.55,0.47,,,0.73,0.64,Intermediate,8/8,Beginner,4/8,Intermediate,6/8
3134,Motorhead,All For You,Lemmy,['Distortion Guitar'],Beginner,2/8,0.46,0.81,0.49,0.72,Beginner,2/8,0.34,0.76,Advanced,2/8,Beginner,1/8,Advanced,5/8
3135,Anathema,A Simple Mistake,Electric Bass,['Lead 1 (square)'],,,0.17,0.69,0.84,0.05,,,0.25,0.61,Intermediate,8/8,Beginner,1/8,Intermediate,4/8
3136,Revocation,Chaos Of Forms,Electric Bass,['Electric Guitar (clean)'],Intermediate,3/8,0.58,0.9,0.06,0.59,Intermediate,3/8,0.1,0.24,Beginner,5/8,Advanced,1/8,Intermediate,6/8
3137,Slayer,Angel Of Death (Banjo),Contrabass,[],,,0.24,0.43,0.74,0.33,,,0.92,0.49,Advanced,5/8,Advanced,1/8,Intermediate,5/8
3138,KISS,I Want You,Overdriven Guitar,[],Beginner,2/8,0.31,0.77,0.26,0.99,Beginner,2/8,0.26,0.82,Beginner,4/8,Beginner,5/8,Intermediate,1/8
3139,Mr. Big,Still Ain't Enough For Me,Bass (Billy Sheehan),['Overdriven Guitar'],Intermediate,4/8,0.73,0.27,0.08,0.28,Intermediate,4/8,0.12,0.74,Intermediate,7/8,Advanced,1/8,Intermediate,4/8
3140,Biffy Clyro,A Girl And His Cat,Bass Drive,['Lead 8 (bass + lead)'],,,0.36,0.15,0.2,0.42,,,0.92,0.37,Advanced,6/8,Beginner,1/8,Intermediate,7/8
3141,Dream Theater,Greatest Hit And 21 Other Pretty Cool Songs,String Ensemble 1 1,[],,,0.9,0.8,0.16,0.25,,,0.53,0.21,Intermediate,5/8,Beginner,5/8,Advanced,6/8
3142,Kotiteollisuus,Itken Seinaan Pain,Timpani,[],,,0.6,0.19,0.68,0.11,,,0.67,0.96,Beginner,7/8,Beginner,1/8,Beginner,6/8
3143,Kane,My Best Wasn't Good Enough,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8,0.57,0.93,0.73,0.37,Intermediate,3/8,0.28,0.07,Beginner,1/8,Beginner,2/8,Intermediate,2/8
3144,Avalanch,Pelayo,Electric Guitar (clean),[],Beginner,1/8,0.88,0.41,0.06,0.4,Beginner,1/8,0.98,0.69,Advanced,1/8,Beginner,5/8,Beginner,7/8
3145,Black Rebel Motorcycle Club,Let The Day Begin,bass ,['Electric Guitar (jazz)'],Beginner,2/8,0.12,0.74,0.44,0.01,Beginner,2/8,0.28,0.78,Intermediate,1/8,Advanced,7/8,Intermediate,2/8
3146,Circa Survive,Always Getting What You Want,Distortion Guitar 6,[],Intermediate,3/8,0.85,0.55,0.14,0.97,Intermediate,3/8,0.22,0.77,Beginner,5/8,Intermediate,5/8,Advanced,8/8
3147,Freak Kitchen,Breathe,Traccia 5,['String Ensemble 1'],,,0.8,0.23,0.53,0.9,,,0.43,0.85,Advanced,5/8,Intermediate,8/8,Advanced,8/8
3148,Firehouse,Don't Treat Me Bad,Overdriven Guitar 2,[],Beginner,1/8,0.41,0.3,0.73,0.98,Beginner,1/8,0.51,0.94,Intermediate,8/8,Intermediate,5/8,Beginner,1/8
3149,Smash Mouth,The Fonz,Bass (w/ Distortion),['Lead 2 (sawtooth)'],,,0.42,0.28,0.68,0.72,,,0.21,0.09,Beginner,5/8,Advanced,2/8,Advanced,2/8
3150,X Japan,Say Anything,Strings III,['String Ensemble 1'],,,0.07,0.43,0.79,0.86,,,0.73,0.57,Intermediate,6/8,Beginner,6/8,Intermediate,1/8
3151,X Japan,Kurenai,Strings II,['String Ensemble 1'],,,0.18,0.02,0.63,0.08,,,0.9,0.35,Beginner,5/8,Advanced,2/8,Beginner,7/8
3152,Mae,Anything,Acoustic Guitar (steel) 5,[],Beginner,1/8,0.95,0.19,0.66,0.9,Beginner,1/8,0.21,0.14,Beginner,2/8,Advanced,2/8,Intermediate,5/8
3153,Vivid,Message,Piano (L.H.),['Bright Acoustic Piano'],,,0.45,0.86,0.19,0.89,,,0.82,0.79,Beginner,8/8,Advanced,6/8,Intermediate,6/8
3154,Pat Metheny Group,We Live Here,Synth Bass,['SynthStrings 1'],,,0.87,0.75,0.98,0.18,,,0.14,0.79,Intermediate,1/8,Advanced,3/8,Intermediate,5/8
3155,Reuben,Freddy Kreuger,Bass with distortion,['Distortion Guitar'],Intermediate,3/8,0.53,0.86,0.96,0.31,Intermediate,3/8,0.04,0.43,Intermediate,3/8,Intermediate,4/8,Beginner,7/8
3156,Blackfoot,Indian World,Barry Beckett Piano LH,['Acoustic Grand Piano'],,,0.33,0.45,0.58,0.7,,,0.36,0.86,Beginner,2/8,Beginner,6/8,Intermediate,2/8
3157,Propagandhi,Failed States,Electric Bass,['Distortion Guitar'],Intermediate,4/8,1.0,0.12,0.21,0.49,Intermediate,4/8,0.21,0.29,Intermediate,4/8,Beginner,2/8,Advanced,4/8
3158,Motorhead,Don't Need Religion,Track 2,['Distortion Guitar'],Beginner,1/8,0.94,0.36,0.3,0.57,Beginner,1/8,0.66,0.11,Beginner,4/8,Beginner,2/8,Intermediate,7/8
3159,Motorhead,Devil I Know,Bass Gtr 1,['Distortion Guitar'],Beginner,1/8,0.71,0.82,0.07,0.17,Beginner,1/8,0.19,0.7,Beginner,4/8,Advanced,2/8,Advanced,8/8
3160,Motorhead,Ramones,Lemmy,['Distortion Guitar'],Beginner,2/8,0.43,0.74,0.0,0.24,Beginner,2/8,0.6,0.4,Intermediate,2/8,Beginner,1/8,Intermediate,3/8
3161,Motorhead,Kingdom Of The Worm,Lemmy,['Overdriven Guitar'],Beginner,2/8,0.35,0.23,0.25,0.25,Beginner,2/8,0.67,0.97,Intermediate,8/8,Intermediate,3/8,Advanced,1/8
3162,Motorhead,Shoot You In The Back,Bass,['Distortion Guitar'],Beginner,1/8,0.9,0.83,0.38,0.62,Beginner,1/8,0.78,0.01,Beginner,1/8,Advanced,4/8,Beginner,3/8
3163,Motorhead,Bite The Bullet,Bass,['Distortion Guitar'],Intermediate,3/8,0.45,0.16,0.19,0.8,Intermediate,3/8,0.05,0.59,Advanced,1/8,Intermediate,7/8,Beginner,5/8
3164,Motorhead,Dead And Gone,Lemmy,['Overdriven Guitar'],Beginner,1/8,0.06,0.82,0.75,0.3,Beginner,1/8,0.03,0.15,Advanced,3/8,Beginner,8/8,Advanced,6/8
3165,Motorhead,Claw,Track 2,['Distortion Guitar'],Intermediate,3/8,0.75,0.7,0.68,0.76,Intermediate,3/8,0.88,0.42,Intermediate,4/8,Intermediate,3/8,Intermediate,1/8
3166,Yngwie Malmsteen,Air On A Theme,Cello,[],,,0.15,0.91,0.94,0.93,,,0.07,0.97,Advanced,6/8,Advanced,2/8,Intermediate,2/8
3167,Yngwie Malmsteen,Requiem,Contrabass,[],,,0.61,0.37,0.88,0.06,,,0.33,0.11,Beginner,2/8,Beginner,1/8,Intermediate,8/8
3168,Yngwie Malmsteen,I Am A Viking With Bass/Rhytm,Bass,['Overdriven Guitar'],Intermediate,5/8,0.34,0.26,0.47,0.8,Intermediate,5/8,0.13,0.3,Beginner,7/8,Advanced,7/8,Beginner,2/8
3169,Extreme,Decadence Dance,Synth Strings 2,['String Ensemble 1'],,,0.42,0.75,0.98,0.77,,,0.01,0.04,Beginner,3/8,Advanced,5/8,Advanced,2/8
3170,Freedom Call,High Enough,Bass,"['Ilker Erstin', 'Acoustic Guitar (steel)']",Intermediate,4/8,0.74,0.89,0.43,0.12,Intermediate,4/8,0.36,0.52,Advanced,6/8,Intermediate,6/8,Advanced,5/8
3171,Freedom Call,Metal Invasion,Bass,"['Ilker Erstin', 'Acoustic Guitar (steel)']",Intermediate,4/8,0.0,0.54,0.01,0.15,Intermediate,4/8,0.41,0.03,Beginner,2/8,Advanced,4/8,Advanced,1/8
3172,Gamma Ray,Heavy Metal Universe (Live),Bass,"['Dirk Schlächter', 'Acoustic Guitar (steel)']",Beginner,1/8,0.13,0.98,0.29,0.7,Beginner,1/8,0.82,0.13,Advanced,3/8,Intermediate,2/8,Advanced,5/8
3173,Gamma Ray,One With The World,Bass,"['Dirk Schlächter', 'Acoustic Guitar (steel)']",Intermediate,3/8,0.39,0.52,0.78,0.33,Intermediate,3/8,0.19,0.01,Intermediate,1/8,Beginner,6/8,Advanced,8/8
3174,HammerFall,Templars Of Steel,intro 3,['String Ensemble 2'],,,0.92,0.75,0.01,0.74,,,0.76,0.06,Intermediate,2/8,Beginner,8/8,Beginner,6/8
3175,Slayer,D.D.A.M.M.,Tom Araya,['Distortion Guitar'],Beginner,1/8,0.47,0.82,0.07,0.34,Beginner,1/8,0.28,0.84,Beginner,8/8,Beginner,2/8,Intermediate,5/8
3176,Slayer,Desintegration - Free Money,Tom Araya,['Distortion Guitar'],Intermediate,5/8,0.87,0.98,0.53,0.94,Intermediate,5/8,0.68,0.7,Intermediate,7/8,Intermediate,2/8,Advanced,5/8
3177,Slayer,Verbal Abuse - Leeches,Tom Araya,['Distortion Guitar'],Intermediate,5/8,0.13,0.11,0.12,0.94,Intermediate,5/8,0.8,0.58,Beginner,4/8,Advanced,6/8,Beginner,5/8
3178,Black Label Society,We Live No More,Bass,['Acoustic Guitar (nylon)'],Beginner,1/8,0.21,0.42,0.44,0.74,Beginner,1/8,0.59,0.12,Beginner,3/8,Advanced,7/8,Intermediate,7/8
3179,Ayreon,One Small Step,Synth Bass,['Lead 8 (bass + lead)'],,,0.83,0.99,0.89,0.85,,,0.3,0.1,Beginner,2/8,Intermediate,8/8,Intermediate,4/8
3180,Extreme,Comfortably Dumb, [octaver sound],['Overdriven Guitar'],Intermediate,5/8,0.58,0.76,0.27,0.96,Intermediate,5/8,0.64,0.23,Advanced,1/8,Beginner,2/8,Beginner,1/8
3181,Iced Earth,Overture,Cello,[],,,0.81,0.66,0.65,0.2,,,0.79,0.29,Advanced,1/8,Intermediate,1/8,Intermediate,6/8
3182,In Arkadia,Somber Light,basse,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.13,0.5,0.0,0.99,Intermediate,3/8,0.1,0.38,Advanced,4/8,Intermediate,7/8,Beginner,8/8
3183,Misfits,Latest Flame,Bass Dist.,['Lead 8 (bass + lead)'],,,0.62,0.1,0.77,0.51,,,0.17,0.5,Intermediate,2/8,Beginner,2/8,Beginner,5/8
3184,Misfits,Runaway,Jerry Only,['Overdriven Guitar'],Beginner,1/8,0.54,0.09,0.98,0.72,Beginner,1/8,0.91,0.92,Beginner,8/8,Advanced,5/8,Intermediate,5/8
3185,Old Man's Child,My Kingdom Will Come,Bass,['Acoustic Guitar (nylon)'],Beginner,2/8,0.95,0.08,0.09,0.33,Beginner,2/8,0.31,0.18,Advanced,5/8,Advanced,1/8,Intermediate,7/8
3186,S.O.D.,Shenanigans,Bass,['Overdriven Guitar'],Intermediate,3/8,0.33,0.57,0.59,0.37,Intermediate,3/8,0.74,0.17,Beginner,6/8,Intermediate,3/8,Beginner,1/8
3187,Misfits,I Wanna Be A Ny Ranger,Bass Distortion,['Overdriven Guitar'],Beginner,2/8,0.75,0.37,0.35,0.55,Beginner,2/8,0.16,0.69,Intermediate,6/8,Beginner,2/8,Advanced,6/8
3188,Mayhem,Freezing Moon (Blasphemer's Solo),Necrobutcher,['Distortion Guitar'],Beginner,1/8,0.15,0.22,0.28,0.47,Beginner,1/8,0.6,1.0,Beginner,7/8,Intermediate,3/8,Beginner,8/8
3189,Animetal,Himitsu Sentai Goranger,Bass (Masaki),['Acoustic Guitar (nylon)'],Intermediate,3/8,0.99,0.11,0.95,0.88,Intermediate,3/8,0.88,0.19,Beginner,8/8,Advanced,4/8,Beginner,7/8
3190,Animetal,Animetal No Theme II (Ryuuketsu No Sanbika),Bass (Masaki),['Acoustic Guitar (nylon)'],Intermediate,3/8,0.65,0.04,0.43,0.2,Intermediate,3/8,0.49,0.53,Beginner,5/8,Beginner,7/8,Intermediate,1/8
3191,Animetal,Shouri Da! Akumaizer 3,Bass (Masaki),['Acoustic Guitar (nylon)'],Intermediate,3/8,0.76,0.1,0.55,0.55,Intermediate,3/8,0.78,0.32,Intermediate,8/8,Beginner,4/8,Beginner,6/8
3192,Ministry,Lava,(bass fx),['Distortion Guitar'],Beginner,2/8,0.62,0.31,0.6,0.05,Beginner,2/8,0.66,0.61,Beginner,5/8,Advanced,7/8,Intermediate,2/8
3193,Misfits,Abominable Dr. Phibes,Jerry Only,['Distortion Guitar'],Intermediate,3/8,0.11,0.46,0.64,0.8,Intermediate,3/8,0.6,0.65,Advanced,3/8,Intermediate,2/8,Advanced,8/8
3194,Misfits,Hunting Humans,Bass Distortion,['Distortion Guitar'],Intermediate,3/8,0.22,0.84,0.4,0.98,Intermediate,3/8,0.78,0.37,Intermediate,3/8,Advanced,4/8,Beginner,6/8
3195,Animetal,Tatakae ! Denjin Zaborger,Bass+ (optional),['Acoustic Guitar (nylon)'],Intermediate,3/8,0.45,0.48,0.88,0.75,Intermediate,3/8,0.47,0.95,Beginner,5/8,Beginner,5/8,Beginner,6/8
3196,Estigia,Lagrimas Del Mal,estudio jaime,['Cello'],,,0.73,0.09,0.73,0.07,,,0.89,0.99,Beginner,8/8,Beginner,2/8,Beginner,7/8
3197,Freedom Call,Tears Of Taragon,Intro Strings 2,['String Ensemble 1'],,,0.07,0.97,0.28,0.74,,,0.61,0.51,Intermediate,7/8,Beginner,4/8,Intermediate,6/8
3198,Reuben,Agony Agatha,Bass OD,['Distortion Guitar'],Intermediate,3/8,0.67,0.52,0.68,0.09,Intermediate,3/8,0.99,0.22,Beginner,8/8,Beginner,5/8,Advanced,4/8
3199,Warmachine,What A Pretty Picture,Bass,['Electric Guitar (clean)'],Intermediate,3/8,0.27,0.64,0.07,0.99,Intermediate,3/8,0.44,0.23,Advanced,5/8,Intermediate,8/8,Advanced,5/8
3200,Green Mind,Condemned,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8,0.31,0.38,0.34,0.91,Intermediate,3/8,0.64,0.01,Intermediate,3/8,Beginner,2/8,Advanced,7/8
3201,Green Mind,Cognitive Dissonance,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8,0.19,0.46,0.39,0.7,Intermediate,3/8,0.61,0.36,Advanced,6/8,Beginner,6/8,Intermediate,7/8
3202,Burzum,Keliohesten,Bass,['Electric Guitar (clean)'],Beginner,1/8,0.67,0.76,0.57,0.43,Beginner,1/8,0.5,0.85,Beginner,5/8,Intermediate,2/8,Advanced,3/8
3203,Philippe Vachey,Zeelich,Strings low,['Contrabass'],,,0.66,0.61,0.58,0.76,,,0.01,0.37,Intermediate,7/8,Advanced,1/8,Intermediate,7/8
3204,S.O.S.,Novo Ciclo (Introdução E 1ª Parte),Gonçalo,['Acoustic Guitar (steel)'],Intermediate,3/8,0.4,0.5,0.87,0.39,Intermediate,3/8,0.95,0.26,Intermediate,7/8,Beginner,4/8,Beginner,3/8
3205,Motorhead,King Of Kings,Track 4,['Distortion Guitar'],Beginner,1/8,0.02,0.3,0.97,0.34,Beginner,1/8,0.33,0.39,Advanced,3/8,Intermediate,8/8,Beginner,7/8
3206,Janne Da Arc,Eden Kimi Ga Inai,Piano (Left Hand),['Acoustic Grand Piano'],,,0.06,0.69,0.16,0.51,,,0.75,0.05,Intermediate,2/8,Advanced,1/8,Advanced,7/8
3207,Relient K,Who I Am Hates Who I've Been,Bass,['Acoustic Guitar (nylon)'],Beginner,1/8,0.09,0.27,0.28,0.85,Beginner,1/8,0.92,0.95,Intermediate,2/8,Intermediate,3/8,Intermediate,4/8
3208,Mr.,兩大無猜,Effect,['Lead 2 (sawtooth)'],,,0.36,0.81,0.54,0.43,,,0.55,0.25,Advanced,8/8,Intermediate,5/8,Beginner,5/8
3209,Dark Tranquillity,The Mind's Eye,BackGuitar,['Acoustic Guitar (nylon)'],Beginner,1/8,0.04,0.56,0.92,0.21,Beginner,1/8,0.88,0.29,Beginner,5/8,Advanced,2/8,Beginner,1/8
3210,Nightmare,Wasurena Kusa Budokan Version,Ni~Ya,['Distortion Guitar'],Beginner,2/8,0.75,0.32,0.98,0.92,Beginner,2/8,0.27,0.62,Intermediate,8/8,Intermediate,8/8,Beginner,3/8
3211,Ozzy Osbourne,Walk On Water,Synth IV,['Electric Grand Piano'],,,0.34,0.9,0.23,0.01,,,0.09,0.62,Beginner,1/8,Intermediate,1/8,Advanced,3/8
3212,Jesus-P,Remote Control (Ft. Kagamine Len & Rin),Bass,['Lead 2 (sawtooth)'],,,0.83,0.3,0.21,0.41,,,0.04,0.57,Advanced,7/8,Beginner,5/8,Beginner,3/8
3213,Motorhead,I Don't Believe A Word,Bass,['Overdriven Guitar'],Beginner,1/8,0.16,0.87,0.55,0.17,Beginner,1/8,0.12,0.75,Intermediate,8/8,Intermediate,2/8,Beginner,2/8
3214,Motorhead,Hellraiser,Lemmy (God),['Overdriven Guitar'],Beginner,1/8,0.34,0.18,0.48,0.05,Beginner,1/8,0.56,0.9,Beginner,7/8,Beginner,4/8,Advanced,7/8
3215,Protest The Hero,Led Astray,Bass (Arif),['Acoustic Guitar (nylon)'],Intermediate,3/8,0.39,0.78,0.4,0.64,Intermediate,3/8,0.15,0.39,Beginner,3/8,Intermediate,5/8,Advanced,5/8
3216,Calum Rob,ace of diamonds,Bass,['Overdriven Guitar'],Intermediate,3/8,0.62,0.37,0.08,0.02,Intermediate,3/8,0.79,0.62,Beginner,7/8,Intermediate,8/8,Advanced,1/8
3217,St. Vincent,Now Now,Bass,['Overdriven Guitar'],Beginner,2/8,0.92,0.01,0.53,0.1,Beginner,2/8,0.28,0.47,Beginner,7/8,Beginner,5/8,Advanced,2/8
3218,Brand New,Untitled 05,Bass Effect,['Overdriven Guitar'],Intermediate,3/8,0.79,0.69,0.31,0.92,Intermediate,3/8,0.86,0.23,Intermediate,7/8,Intermediate,2/8,Beginner,5/8
3219,Cold Cast,Country Roads,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8,0.5,0.87,0.2,0.52,Intermediate,3/8,0.87,0.06,Advanced,2/8,Intermediate,8/8,Beginner,1/8
3220,Farin Urlaub Racing Team,Schon Wieder,Piano (left),['Acoustic Grand Piano'],,,0.5,0.79,0.48,0.84,,,0.95,0.67,Intermediate,3/8,Advanced,7/8,Advanced,4/8
3221,Sid,Namida No Ondo,Keyboard II,['Electric Grand Piano'],,,0.16,0.09,0.18,0.06,,,0.02,0.26,Intermediate,7/8,Advanced,6/8,Advanced,7/8
